"","SampleNumber","Date","re","cv"
"1",1,1593820800,0.171862745098039,NA
"2",1,1593820800,0.661160275319567,NA
"3",1,1593820800,0.236946702800361,NA
"4",2,1593820800,0.165109957993576,0.476995678932363
"5",2,1593820800,0.228584474885845,0.0154982308205271
"6",2,1593820800,0.0206376811594203,0.678822509939086
"7",3,1593820800,0.145904954499495,0.307570304632703
"8",3,1593820800,0.432909245122986,0.287835638521715
"9",3,1593820800,0.430482641828958,0.220067722914336
"10",4,1593820800,0.287161904761905,0.373061903272727
"11",4,1593820800,0.0146546546546546,0.518286651850034
"12",4,1593820800,0.0439162422184494,0.476526635550822
"13",5,1593820800,0.29040635502597,0.43101555606752
"14",5,1593820800,0.0432665080983124,0.507087337223608
"15",5,1593820800,0.164490603363007,0.322632927242405
"16",6,1593820800,0.150817438692098,0.486033584487149
"17",6,1593820800,0.109986859395532,0.47153938130809
"18",6,1593820800,0.167373090192213,0.215538813209956
"19",7,1593820800,0.0107521367521368,0.452665372074306
"20",7,1593820800,0.106947590998339,0.405708160255599
"21",7,1593820800,0.105421574126005,0.513399194365683
"22",8,1593820800,0.180573025856045,0.433996262989846
"23",8,1593820800,0.0342209978573615,0.459588915556187
"24",8,1593820800,0.0373167549313071,0.439558813896954
"25",9,1593820800,0.00122481232714339,0.52109589591012
"26",9,1593820800,0.0897011395398838,0.526508937876872
"27",9,1593820800,0.108809565676103,0.406557281725797
"28",10,1593820800,0.00938041465017628,0.461125367271908
"29",10,1593820800,0.128976209569634,0.483227329603452
"30",10,1593820800,0.012739597942964,0.430323599861158
"31",11,1593820800,0.0118370902755092,0.439348899099345
"32",11,1593820800,0.067800351141209,0.419047569305173
"33",11,1593820800,0.10445761650041,0.349351092082556
"34",12,1593820800,0.0421545003543586,0.41850110097587
"35",12,1593820800,0.0155011655011655,0.371992031350462
"36",12,1593820800,0.0214026602176541,0.461066236285441
"37",13,1593820800,0.0625261450463142,0.384728833530737
"38",13,1593820800,0.0545568039950062,0.444827184088891
"39",13,1593820800,0.0111510128913444,0.445683493428147
"40",1,1594425600,0.494945054945055,NA
"41",1,1594425600,0.108539765319426,NA
"42",1,1594425600,0.798043880518107,NA
"43",2,1594425600,0.202392120075047,0.396669657738795
"44",2,1594425600,0.490685952224414,0.0805819693659883
"45",2,1594425600,0.241354138151291,0.169437212099268
"46",3,1594425600,0.20467560068481,0.296321947800993
"47",3,1594425600,0.292612750025999,0.969362479336108
"48",3,1594425600,0.0743958300426474,0.365601121982101
"49",4,1594425600,0.163381365715996,0.364476950716048
"50",4,1594425600,0.0154891202926138,0.429584543453495
"51",4,1594425600,0.015982076176251,0.431848618174686
"52",5,1594425600,0.278700345697864,0.65700848794941
"53",5,1594425600,0.200070571630205,0.157473797190568
"54",5,1594425600,0.213992504015706,0.441853750814039
"55",6,1594425600,0.417969564311028,0.167531411659638
"56",6,1594425600,0.198318535397187,0.735108239513779
"57",6,1594425600,0.243886171631836,0.657921807370947
"58",7,1594425600,0.151041918483779,0.385335800926408
"59",7,1594425600,0.116803620782401,0.797634822695899
"60",7,1594425600,0.0874748766672758,0.430284935921169
"61",8,1594425600,0.138076713933158,0.470011484029859
"62",8,1594425600,0.222144862436833,0.40743357243982
"63",8,1594425600,0.040383733643706,0.789939670873161
"64",9,1594425600,0.11566630552546,0.680923850529701
"65",9,1594425600,0.1438127090301,0.405217689165047
"66",9,1594425600,0.145823159245978,0.64245922002329
"67",10,1594425600,0.167925824175824,0.435518980265157
"68",10,1594425600,0.30221694681625,0.424080357594618
"69",10,1594425600,0.155800241287319,0.425292619410575
"70",11,1594425600,0.0307196385276616,0.72960960897255
"71",11,1594425600,0.0801440847788938,0.642413404930085
"72",11,1594425600,0.0344245976884368,0.733498606958886
"73",12,1594425600,0.0356674503502947,0.666249262752472
"74",12,1594425600,0.00267793528732529,0.706607688305192
"75",12,1594425600,0.0268491582812722,0.678375401487172
"76",13,1594425600,0,0.674787216944655
