"","SampleNumber","Date","re","cv"
"1",1,1593820800,0.546772068511199,NA
"2",1,1593820800,0.540106951871658,NA
"3",1,1593820800,3.67293625914316,NA
"4",2,1593820800,0.41630229067415,0.407106703884861
"5",2,1593820800,0.132240225089745,0.297331986966382
"6",2,1593820800,0.313847334100499,0.695769204104231
"7",3,1593820800,0.367305340399511,0.825467698528246
"8",3,1593820800,0.0231848688224528,0.591642833567346
"9",3,1593820800,1.08129072292895,0.781825151717132
"10",4,1593820800,0.288011463142812,0.646461658263035
"11",4,1593820800,0.123824451410658,0.657917344251408
"12",4,1593820800,0.101749199310175,0.386404631385096
"13",5,1593820800,0.138674884437596,0.553661732070514
"14",5,1593820800,0.0203723986856517,0.706453670868831
"15",5,1593820800,0.285006235410738,0.539479321365435
"16",6,1593820800,0.251067630557959,0.536257060991131
"17",6,1593820800,0.0740963131980305,0.740646291887458
"18",6,1593820800,0.134702828211164,0.713822592055339
"19",7,1593820800,0.0297244521588197,0.802913764599171
"20",7,1593820800,0.0333399353007196,0.648400376210009
"21",7,1593820800,0.155794072436018,0.65087133840532
"22",8,1593820800,0.174138496882179,0.729769262777836
"23",8,1593820800,0.0494881046671947,0.66921111414224
"24",8,1593820800,0.12460706651578,0.680608759124672
"25",9,1593820800,0.211158255845446,0.723478715665197
"26",9,1593820800,0.0416686508881375,0.66676136597919
"27",9,1593820800,0.104086902323925,0.622037114316862
"28",10,1593820800,0.137190082644628,0.663331347346191
"29",10,1593820800,0.0728723955633876,0.616814938437573
"30",10,1593820800,0.0639063906390639,0.635692674642433
"31",11,1593820800,0,0.682873049686837
"32",11,1593820800,0,0.682873049686837
"33",11,1593820800,0,0.682873049686837
"34",1,1594425600,0.13767258382643,NA
"35",1,1594425600,0.13767258382643,NA
"36",1,1594425600,0.693482090428655,NA
"37",2,1594425600,0.378582202111614,0.152513227314746
"38",2,1594425600,0.0926537675003933,0.428023736669158
"39",2,1594425600,0.156478502486107,0.387161127341684
"40",3,1594425600,0.0775627698704622,0.573785741954979
