"","SampleNumber","Date","re","cv"
"1",1,1593820800,0.0779522978475858,NA
"2",1,1593820800,0.0239018087855297,NA
"3",1,1593820800,2.45315904139434,NA
"4",2,1593820800,0.0657253319885695,0.537016042595532
"5",2,1593820800,0.159374171307346,0.124882820543686
"6",2,1593820800,1.29460731089396,0.474475560014426
"7",3,1593820800,0.0949913644214162,0.34064274176353
"8",3,1593820800,0.0540137272455983,0.350410916073285
"9",3,1593820800,0.175767030681227,0.6021699415538
"10",4,1593820800,0.035668111643471,0.294225560739293
"11",4,1593820800,0.0493327335432598,0.309804056228043
"12",4,1593820800,0.244601491951315,0.440984114008979
"13",5,1593820800,0.169396488121588,0.464442087489133
"14",5,1593820800,0.163217378541024,0.314791738134538
"15",5,1593820800,0.342310298102981,0.498718252740411
"16",6,1593820800,0.0657235484821692,0.570512572149481
"17",6,1593820800,0.0827546296296296,0.524642321941551
"18",6,1593820800,0.178657743074921,0.426532137714947
"19",7,1593820800,0.0837606837606838,0.604610817494331
"20",7,1593820800,0.0531660692951015,0.532450365319516
"21",7,1593820800,0.234011789567345,0.406627113220622
"22",8,1593820800,0.0317750925586883,0.549909735349627
"23",8,1593820800,0.0317750925586883,0.549909735349627
"24",8,1593820800,0.0168256183608591,0.530189544137777
"25",9,1593820800,0,0.507040289923874
"26",9,1593820800,0,0.507040289923874
"27",9,1593820800,0,0.507040289923874
"28",1,1594425600,0.16,NA
"29",1,1594425600,0.18159509202454,NA
"30",1,1594425600,0.399300699300699,NA
"31",2,1594425600,0.0435462842242503,0.141974503654144
"32",2,1594425600,0.0367875647668394,0.377367867679867
"33",2,1594425600,0.156647398843931,0.310636505029928
"34",3,1594425600,0.430989272943981,0.0304108482054185
"35",3,1594425600,0.164509394572025,0.551318218865338
"36",3,1594425600,0.308410138248848,0.297276883238205
"37",4,1594425600,0.0594308405029781,0.228261979706405
"38",4,1594425600,0.0250913520097442,0.148745626560225
"39",4,1594425600,0.00679245283018865,0.246562271779811
"40",5,1594425600,0.131133304385584,0.423356936864838
"41",5,1594425600,0.125437062937063,0.422937721819044
"42",5,1594425600,0.0858839652809503,0.470857043706402
"43",6,1594425600,0.0332185886402754,0.236912712254476
"44",6,1594425600,0.173033707865168,0.251594613855503
"45",6,1594425600,0.0462745098039215,0.237254001690796
"46",7,1594425600,0.0333333333333334,0.428585736606716
"47",7,1594425600,0.142030167142275,0.224623157342171
"48",7,1594425600,0.0161044613710555,0.454229861817273
"49",8,1594425600,0.0357813005499838,0.446384709466009
"50",8,1594425600,0.0547387068201949,0.393029297327005
"51",8,1594425600,0.00787108769755193,0.416000631139609
"52",9,1594425600,0.019762174405436,0.415492161195921
"53",9,1594425600,0.00392699115044249,0.410761086398724
"54",9,1594425600,0.0338519313304721,0.382112864851975
